,steps,info_steps,seed,n_eval,max_step_per_eval,time,info_time,mean_reward
0,500,497.0,1,22,46.0,0.44727134704589844,4.86765,9.24
1,1000,996.0,1,37,137.0,1.294213056564331,28.245818999999997,69.86
2,1500,1443.0,1,50,137.0,2.06169056892395,113.85301399999999,71.49
3,2000,1951.0,1,63,137.0,2.773223638534546,264.60893899999996,97.42
4,2500,2468.0,1,70,174.0,3.509204626083374,390.720346,99.07
5,3000,2992.0,1,81,174.0,4.2323081493377686,700.83524,173.32
6,3500,3434.0,1,85,174.0,4.992142677307129,863.941389,184.95
7,4000,3979.0,1,91,174.0,5.714525938034058,1174.4278669999999,389.96
8,4500,4422.0,1,94,223.0,6.41466498374939,1398.111573,356.19
9,5000,4971.0,1,101,223.0,7.0972418785095215,2058.625603,229.08
10,5500,5367.0,1,105,223.0,7.795508146286011,2489.097073,418.14
11,6000,5983.0,1,110,242.0,8.46199107170105,3147.1390349999997,254.02
12,6500,6396.0,1,112,266.0,9.146830797195435,3442.1174629999996,365.12
13,7000,6975.0,1,115,266.0,10.125975131988525,3952.474409,448.42
14,7500,7468.0,1,117,315.0,11.034616470336914,4356.444063999999,485.7
15,8000,7908.0,1,119,315.0,12.02123498916626,4828.846373999999,500.0
16,8500,8359.0,1,121,315.0,12.8311927318573,5369.499959999999,457.55
17,9000,8807.0,1,122,448.0,13.706818342208862,5672.351413999999,486.52
18,9500,9372.0,1,124,448.0,14.46622896194458,6343.256274999999,459.8
19,10000,9877.0,1,126,448.0,15.248269081115723,7076.560478999999,498.66
20,500,486.0,2,22,70.0,0.494673490524292,5.818233999999999,9.15
21,1000,996.0,2,41,73.0,1.386589765548706,41.155826000000005,99.56
22,1500,1478.0,2,55,73.0,2.2418885231018066,183.71106199999997,113.04
23,2000,1953.0,2,68,73.0,3.118598699569702,428.22849899999983,64.29
24,2500,2451.0,2,74,203.0,3.9964418411254883,573.3993609999999,62.61
25,3000,2984.0,2,87,203.0,4.835075855255127,954.4941269999999,74.74
26,3500,3351.0,2,91,203.0,5.662524461746216,1094.805163,129.45
27,4000,3958.0,2,96,236.0,6.444965362548828,1317.4388139999999,212.15
28,4500,4469.0,2,99,286.0,7.270564079284668,1494.8279649999997,443.06
29,5000,4913.0,2,103,286.0,8.147910118103027,1849.1854019999998,298.39
30,5500,5468.0,2,107,286.0,9.03415584564209,2286.239143,325.14
31,6000,5707.0,2,108,286.0,9.835512399673462,2417.8010179999997,340.16
32,6500,6491.0,2,111,478.0,10.601047039031982,2885.2096109999993,338.48
33,7000,6991.0,2,112,500.0,11.48066782951355,3064.7769229999994,497.73
34,7500,7491.0,2,113,500.0,12.300312757492065,3280.4616619999993,500.0
35,8000,7934.0,2,115,500.0,13.093496084213257,3782.296719999999,499.41
36,8500,8212.0,2,116,500.0,13.940605401992798,4067.3271189999987,500.0
37,9000,8834.0,2,118,500.0,14.73652195930481,4708.943098999998,479.2
38,9500,9266.0,2,119,500.0,15.504120349884033,5063.543366999998,499.8
39,10000,9958.0,2,121,500.0,16.33380126953125,5842.223921999998,486.54
40,500,497.0,3,22,62.0,0.45130157470703125,5.107101,129.14
41,1000,940.0,3,38,71.0,1.3252718448638916,163.25258200000002,112.85
42,1500,1491.0,3,57,71.0,2.2010626792907715,511.70085900000004,67.37
43,2000,1962.0,3,70,78.0,3.0916907787323,820.639015,72.73
44,2500,2472.0,3,80,90.0,3.983729839324951,1119.7632780000001,200.55
45,3000,2945.0,3,85,195.0,4.862411737442017,1343.5042740000001,244.67
46,3500,3462.0,3,92,195.0,5.6305036544799805,1776.9979700000001,221.77
47,4000,3991.0,3,95,203.0,6.434297800064087,2010.3091770000003,369.07
48,4500,4489.0,3,100,203.0,7.213481903076172,2525.8842930000005,367.31
49,5000,4945.0,3,103,203.0,7.998560667037964,2911.7374310000005,440.98
50,5500,5470.0,3,107,203.0,8.826602935791016,3544.8845090000004,385.87
51,6000,5981.0,3,111,207.0,9.650637149810791,4281.592850000001,200.67
52,6500,6444.0,3,114,220.0,10.510356903076172,4879.698916000001,433.06
53,7000,6941.0,3,117,230.0,11.317396640777588,5568.706003000001,242.75
54,7500,7484.0,3,122,230.0,12.21263337135315,6806.369441000001,223.75
55,8000,7930.0,3,125,230.0,13.037950277328491,7596.753045000001,409.54
56,8500,8479.0,3,128,250.0,13.8785879611969,8472.409863,281.21
57,9000,8841.0,3,131,250.0,14.681416749954224,9406.815095000002,190.24
58,9500,9444.0,3,134,284.0,15.576142311096191,10383.345191000002,259.07
59,10000,9671.0,3,135,284.0,16.4638991355896,10727.636513000001,322.13
60,500,500.0,4,21,72.0,0.4390535354614258,4.430521000000001,9.37
61,1000,978.0,4,45,72.0,1.2836451530456543,45.74482999999999,103.83
62,1500,1488.0,4,61,72.0,2.114731788635254,198.45519800000002,125.61
63,2000,1987.0,4,73,72.0,3.035301923751831,426.36214700000005,83.56
64,2500,2462.0,4,86,72.0,4.159359931945801,764.91012,167.4
65,3000,2963.0,4,94,92.0,4.969514846801758,1092.2700860000002,140.7
66,3500,3411.0,4,103,95.0,5.771763324737549,1561.2158920000002,364.08
67,4000,3844.0,4,107,161.0,6.594853162765503,1875.5176120000003,487.15
68,4500,4330.0,4,110,200.0,7.437246322631836,2213.5973610000005,301.99
69,5000,4966.0,4,119,200.0,8.242634773254395,3423.9358220000004,168.14
70,5500,5468.0,4,122,202.0,9.134487390518188,3865.4267950000003,358.37
71,6000,5976.0,4,126,238.0,10.019629716873169,4557.512737000001,449.8
72,6500,6398.0,4,128,261.0,10.897326231002808,4965.579599000001,466.93
73,7000,6826.0,4,130,293.0,11.730584859848022,5439.165767,445.8
74,7500,7356.0,4,133,293.0,12.517417192459106,6240.81005,471.84
75,8000,7607.0,4,134,293.0,13.380405902862549,6541.172371,438.56
76,8500,8281.0,4,137,414.0,14.209345579147339,7537.459189,358.91
77,9000,8940.0,4,140,414.0,15.040557146072388,8619.127366,431.59
78,9500,9347.0,4,142,414.0,15.896794080734253,9399.293291000002,455.9
79,10000,9829.0,4,144,414.0,16.715821266174316,10243.407619000001,477.83
80,500,480.0,5,24,53.0,0.4819800853729248,6.387791000000002,9.03
81,1000,961.0,5,42,53.0,1.4675569534301758,41.323842000000006,68.66
82,1500,1477.0,5,56,86.0,2.3701744079589844,146.65134700000004,75.51
83,2000,1989.0,5,66,104.0,3.310580253601074,289.626994,92.63
84,2500,2455.0,5,75,112.0,4.155404329299927,484.61188799999996,111.29
85,3000,2995.0,5,85,112.0,5.003340482711792,784.6853389999999,245.15
86,3500,3453.0,5,93,114.0,5.915742874145508,1167.3738409999999,460.03
87,4000,3897.0,5,98,194.0,6.801000118255615,1573.117372,198.32
88,4500,4256.0,5,101,194.0,7.6567442417144775,1858.6337609999998,212.4
89,5000,4842.0,5,105,406.0,8.472961664199829,2298.974345,196.34
90,5500,5400.0,5,109,406.0,9.294593811035156,2797.73854,196.3
91,6000,5855.0,5,112,406.0,10.128952741622925,3213.9998629999996,258.78
92,6500,6433.0,5,116,406.0,10.983680486679077,3842.9945559999996,189.06
93,7000,6842.0,5,118,406.0,11.767912149429321,4184.427549999999,299.99
94,7500,7427.0,5,121,406.0,12.65639042854309,4760.717864999999,410.96
95,8000,7938.0,5,124,406.0,13.485975742340088,5422.277058999999,408.46
96,8500,8183.0,5,125,406.0,14.350672245025635,5671.737991999999,355.3
97,9000,8837.0,5,127,410.0,15.175560712814331,6220.671710999999,392.24
98,9500,9430.0,5,129,410.0,16.56710195541382,6829.026988,435.94
99,10000,9957.0,5,132,410.0,17.499815464019775,7862.910475,486.97
100,500,487.0,6,19,56.0,0.7104637622833252,6.7207609999999995,27.26
101,1000,985.0,6,42,56.0,1.9705235958099365,108.31798,70.66
102,1500,1484.0,6,57,81.0,3.2947046756744385,305.521476,67.99
103,2000,2000.0,6,71,81.0,4.608929634094238,605.341774,69.06
104,2500,2452.0,6,78,96.0,5.829489231109619,813.184199,121.61
105,3000,2942.0,6,86,96.0,7.0712268352508545,1161.2135689999998,155.53
106,3500,3500.0,6,96,111.0,8.163682699203491,1753.1035379999998,133.29
107,4000,3991.0,6,102,142.0,9.089999675750732,2177.081044,179.17
108,4500,4388.0,6,106,142.0,10.335017204284668,2527.6762399999993,307.38
109,5000,4933.0,6,110,169.0,11.649914026260376,3007.759071999999,394.42
110,5500,5397.0,6,113,234.0,12.58255934715271,3501.6132449999986,270.06
111,6000,5818.0,6,116,234.0,13.51709771156311,4058.2013109999984,302.68
112,6500,6351.0,6,119,234.0,14.856864213943481,4685.670741999999,169.83
113,7000,6942.0,6,122,245.0,16.13113832473755,5375.136825999999,263.62
114,7500,7291.0,6,123,349.0,17.44048237800598,5634.187340999999,498.13
115,8000,7904.0,6,126,349.0,18.687823057174683,6577.455732999999,492.03
116,8500,8411.0,6,129,349.0,20.036823272705078,7675.772083999999,495.0
117,9000,8890.0,6,131,349.0,21.174503087997437,8481.592016999999,217.33
118,9500,9387.0,6,135,349.0,22.500470876693726,10194.263159999997,165.2
119,10000,9935.0,6,137,359.0,23.74635648727417,11090.151390999996,258.01
120,500,496.0,7,19,76.0,0.45607542991638184,4.462119,9.25
121,1000,981.0,7,34,76.0,1.724334955215454,37.141313000000004,74.79
122,1500,1475.0,7,51,76.0,2.6810338497161865,184.85832699999997,65.73
123,2000,1968.0,7,64,76.0,3.5459508895874023,369.957127,76.84
124,2500,2491.0,7,72,143.0,4.4087724685668945,533.034657,105.5
125,3000,2943.0,7,83,143.0,5.333752870559692,852.73455,222.87
126,3500,3483.0,7,88,143.0,6.990100145339966,1116.2689,500.0
127,4000,3973.0,7,91,308.0,8.311863660812378,1427.4327660000004,474.27
128,4500,4408.0,7,95,308.0,9.63630199432373,2066.746035,324.99
129,5000,4985.0,7,101,308.0,10.566425085067749,3211.090447,210.73
130,5500,5476.0,7,102,491.0,11.492288589477539,3418.618116,331.68
131,6000,5887.0,7,106,491.0,12.79984426498413,4369.18563,436.74
132,6500,6444.0,7,110,491.0,13.655128955841064,5460.625198000001,423.36
133,7000,6984.0,7,113,491.0,14.897331714630127,6381.402647000001,224.93
134,7500,7407.0,7,116,491.0,16.136837244033813,7375.805199,369.27
135,8000,7997.0,7,120,491.0,17.463866710662842,8861.695444,370.74
136,8500,8436.0,7,123,491.0,18.906288146972656,10083.370454000002,390.7
137,9000,8991.0,7,125,491.0,20.15846300125122,10987.201564000003,386.63
138,9500,9393.0,7,128,491.0,21.132244110107422,12465.075369000002,381.2
139,10000,9901.0,7,131,491.0,22.038869619369507,14031.462894000002,398.22
140,500,494.0,8,20,46.0,0.5514862537384033,6.841876999999999,162.7
141,1000,954.0,8,30,108.0,1.481842279434204,140.499341,114.38
142,1500,1471.0,8,46,108.0,2.352541446685791,503.99166,173.06
143,2000,1986.0,8,59,108.0,3.5612008571624756,1007.6786000000001,150.44
144,2500,2467.0,8,67,130.0,4.875527858734131,1451.59065,116.93
145,3000,2953.0,8,73,138.0,6.210661888122559,1868.8071670000002,226.88
146,3500,3470.0,8,76,301.0,7.517945051193237,2151.9496360000003,305.84
147,4000,3870.0,8,79,301.0,8.853907585144043,2543.3333490000005,438.66
148,4500,4471.0,8,85,301.0,9.882829189300537,3639.165766000001,241.7
149,5000,4900.0,8,89,301.0,10.999741554260254,4459.138262000001,425.29
150,5500,5464.0,8,93,301.0,12.253212690353394,5424.015011000001,407.96
151,6000,5894.0,8,99,301.0,13.507685899734497,7133.035747000002,178.39
152,6500,6466.0,8,103,301.0,14.489885330200195,8354.233341000001,289.06
153,7000,6781.0,8,106,301.0,15.412868976593018,9335.115048000001,395.12
154,7500,7372.0,8,108,338.0,16.77886962890625,10056.817537000003,324.47
155,8000,7892.0,8,112,338.0,17.642228841781616,11612.512024000003,335.39
156,8500,8301.0,8,115,338.0,18.967556476593018,12877.440344000002,366.08
157,9000,8943.0,8,118,338.0,20.311545848846436,14272.783213000002,313.86
158,9500,9457.0,8,121,338.0,21.519874095916748,15782.325724000002,330.88
159,10000,9861.0,8,123,338.0,22.790046215057373,16865.220838,381.0
160,500,491.0,9,20,50.0,0.4791600704193115,4.639352,60.47
161,1000,959.0,9,41,50.0,1.8029673099517822,171.64509700000002,55.29
162,1500,1492.0,9,55,111.0,3.1152091026306152,389.678859,56.33
163,2000,1993.0,9,69,111.0,4.427869558334351,716.5475670000001,107.86
164,2500,2479.0,9,78,111.0,5.798323392868042,1048.6629670000002,128.43
165,3000,2959.0,9,87,142.0,6.90143609046936,1492.43312,378.31
166,3500,3406.0,9,92,160.0,7.782729387283325,1873.868248,491.22
167,4000,3684.0,9,94,205.0,8.645540714263916,2095.584926,364.07
168,4500,4369.0,9,99,339.0,9.972585678100586,2842.230475,201.49
169,5000,4960.0,9,103,339.0,10.902003526687622,3508.6992629999995,434.18
170,5500,5433.0,9,106,339.0,11.766809463500977,4127.463556,225.53
171,6000,5903.0,9,109,339.0,12.85138487815857,4796.063676,459.44
172,6500,6449.0,9,112,339.0,14.0888192653656,5616.730238,227.29
173,7000,6900.0,9,117,339.0,15.411638259887695,7107.771143999999,151.74
174,7500,7439.0,9,121,339.0,16.671597719192505,8375.808836999999,189.66
175,8000,7995.0,9,125,339.0,17.89939594268799,9728.239085,162.74
176,8500,8384.0,9,127,339.0,19.143900394439697,10440.200809999998,194.55
177,9000,8760.0,9,130,339.0,20.458653926849365,11572.038874999998,164.31
178,9500,9440.0,9,133,339.0,21.77510929107666,12764.655091999997,243.34
179,10000,9858.0,9,135,339.0,23.045360803604126,13618.511741999997,312.22
180,500,494.0,10,21,44.0,0.7307417392730713,8.404314000000001,21.06
181,1000,992.0,10,43,61.0,2.0525758266448975,93.62105099999998,112.59
182,1500,1499.0,10,57,73.0,3.3062663078308105,348.35433499999994,155.39
183,2000,1948.0,10,67,104.0,4.623754978179932,703.6299319999998,110.56
184,2500,2494.0,10,79,104.0,5.632655143737793,1298.033301,257.06
185,3000,2866.0,10,83,141.0,6.904827117919922,1576.833958,414.32
186,3500,3442.0,10,89,187.0,8.146661281585693,2272.9983669999997,216.99
187,4000,3971.0,10,92,295.0,9.397594213485718,2692.7068309999995,329.62
188,4500,4364.0,10,94,343.0,10.490440368652344,3032.104336,472.59
189,5000,4933.0,10,98,343.0,11.364391565322876,3863.246092,165.69
190,5500,5457.0,10,100,343.0,12.617068767547607,4316.925072999999,180.62
191,6000,5902.0,10,103,343.0,13.878181457519531,5056.094563,229.46
192,6500,6438.0,10,106,343.0,15.119225025177002,5869.855584999999,383.92
193,7000,6856.0,10,108,343.0,16.426273345947266,6498.707085999999,448.48
194,7500,7353.0,10,111,343.0,17.301888465881348,7574.527451,410.2
195,8000,7857.0,10,114,343.0,18.38575839996338,8748.751918000002,494.25
196,8500,8226.0,10,115,369.0,19.716848611831665,9179.704228000002,481.03
197,9000,8838.0,10,117,427.0,20.652061700820923,10128.988362000002,500.0
198,9500,9457.0,10,120,427.0,21.513471841812134,11673.899238000002,499.51
199,10000,9762.0,10,121,427.0,22.397425651550293,12235.527591000002,484.77
