,n_pts,seed,score_r2,score_mae
0,2,1,-0.4130387558269757,0.5736513318304307
1,2,2,0.48540456123279874,0.31714932591693545
2,2,3,-0.36959252721339597,0.5604904296473107
3,2,4,-1.0172929111395028,0.8242569298261994
4,2,5,-2.4031547329713874,1.0641575967560568
5,2,6,-2923.4260173909893,10.687761453752199
6,2,7,-2.2133167641675744,0.956796112387746
7,2,8,-0.6023903042849992,0.6487108548841174
8,2,9,-0.26515912808652287,0.6469271734076258
9,2,10,-0.3633759924775444,0.5893173149916044
10,2,11,-6.81563134983033,1.4374781890959378
11,2,12,0.5545323368431498,0.37757814974177945
12,2,13,-0.011119232410529367,0.5480698837755325
13,2,14,0.3300865675199862,0.42880836567802016
14,2,15,-97.16311317867219,3.286058572854143
15,2,16,-57.63420882701302,3.1916128948154707
16,2,17,-54.843974240642176,2.788553482218386
17,2,18,0.636916010742748,0.3053061182530233
18,2,19,-0.030891538947594332,0.5847395973925081
19,2,20,-4.073464560243359,1.1208463383129768
20,4,1,1.0,4.4408920985006264e-17
21,4,2,-0.08097769885608197,0.5202184569361558
22,4,3,0.5179576369093923,0.35251678531325586
23,4,4,-0.4570073479725565,0.4891520980837372
24,4,5,-0.17513238505516093,0.523885416924047
25,4,6,-2.580744345367009,0.7843268672835106
26,4,7,-0.870675428658918,0.603691402175209
27,4,8,-6.155547630583497,1.1353786195689783
28,4,9,-4.837817788333754,1.2472180511848403
29,4,10,0.3192798597049119,0.3832465585900394
30,4,11,-1.713749858233664,0.6925221951152077
31,4,12,0.42904174864150146,0.3964666590812373
32,4,13,1.0,2.4980018054066023e-17
33,4,14,-13.600736885946851,1.5721644069866765
34,4,15,-27.245899843329727,1.8647901863825815
35,4,16,0.6589012119867605,0.2916406753401854
36,4,17,-20.28739972113378,2.0136458735514107
37,4,18,0.0825659527580127,0.42646832356216025
38,4,19,-2.091726173566611,0.992675306954927
39,4,20,-0.18783577817005237,0.42059410424669225
40,6,1,-0.4178017671960428,0.537217319470376
41,6,2,0.5679617913943804,0.28765303206970183
42,6,3,-0.952883592624318,0.6680520927974741
43,6,4,-0.11023930751672073,0.5176842031160732
44,6,5,-630.042144799752,4.076607549200992
45,6,6,0.5603435470175162,0.2460146329208811
46,6,7,-0.2596009318087644,0.4901798095849735
47,6,8,-0.5989665922962604,0.5747972624466847
48,6,9,-0.2836289774964489,0.44552624394175194
49,6,10,0.6916407194215476,0.2788402827578482
50,6,11,0.5061128445217589,0.33473525631950146
51,6,12,0.6138045769658005,0.344678636973167
52,6,13,-0.2974353588808434,0.5625049960818321
53,6,14,1.0,4.4408920985006264e-17
54,6,15,0.4512650104702127,0.41979566306988025
55,6,16,0.652982607147669,0.33276309864949566
56,6,17,-2.592190032235434,0.9084479179560206
57,6,18,0.9928763969636041,0.05122892196098225
58,6,19,-280.60307104849096,3.2081364530858747
59,6,20,0.42357845208215905,0.36425429160933753
60,8,1,0.786025120120929,0.2286546900010048
61,8,2,-0.06157070736615,0.444691057911737
62,8,3,0.053872016135855794,0.4160068598611282
63,8,4,-1.7842711627623773,0.7407360351785388
64,8,5,0.430978651335998,0.33829439118156174
65,8,6,0.3367574676079269,0.3164892891082128
66,8,7,-0.2009479471199458,0.47895862785681614
67,8,8,0.34585844311025804,0.395201855966022
68,8,9,0.5947494421398228,0.34067148178557605
69,8,10,1.0,4.810966440042345e-17
70,8,11,0.5796650980329006,0.3624547136408374
71,8,12,0.534246326255777,0.3872727658429086
72,8,13,0.2222038524095742,0.3628668732920589
73,8,14,1.0,2.4054832200211726e-17
74,8,15,-0.7091036342245187,0.5926482510239508
75,8,16,0.9951346445147442,0.03887258295340179
76,8,17,0.7182694807060688,0.28243999857393187
77,8,18,0.6503713950041814,0.27508934591018847
78,8,19,-1.432447084684179,0.5643875613205388
79,8,20,-0.048035528485765644,0.4736011815988977
80,10,1,0.7703244931876545,0.23272459072929982
81,10,2,0.48738735769858266,0.37172903227146936
82,10,3,-2.264969872839972,0.4636397372844836
83,10,4,0.9961047840826516,0.03436397644185946
84,10,5,0.43513463154229837,0.33646418468978573
85,10,6,0.375401707140132,0.30420741802878853
86,10,7,0.9999583949724917,0.0036415570287924508
87,10,8,-0.3557601632661265,0.5206000808348215
88,10,9,0.5890911681601716,0.34607910879148274
89,10,10,0.6819018441123288,0.32716168913390986
90,10,11,1.0,3.0068540250264654e-17
91,10,12,0.6199960874946036,0.3107062651254552
92,10,13,0.21179720569431326,0.38785764089755825
93,10,14,-0.4701115308763588,0.4887121565172044
94,10,15,-0.24065732412641805,0.5161674773506626
95,10,16,0.6424664541714276,0.33495944034976727
96,10,17,0.5848931382777895,0.3346344532046884
97,10,18,0.6878056021519697,0.30786242594147206
98,10,19,1.0,4.810966440042345e-17
99,10,20,0.702284552266824,0.22233348178450374
100,12,1,-0.5287070574780506,0.48790079136357445
101,12,2,0.9987055354846062,0.019025768426376148
102,12,3,0.9966914511004291,0.02543019002117575
103,12,4,1.0,3.7470027081099036e-17
104,12,5,0.7689356209749213,0.23199303756821718
105,12,6,0.7059409636397171,0.30505545846450877
106,12,7,0.6574872278537358,0.2750810510198984
107,12,8,0.6226566591082239,0.28434955263392786
108,12,9,0.6685419530535626,0.32152264337744396
109,12,10,1.0,4.810966440042345e-17
110,12,11,0.9999985541101472,0.0007814740353455492
111,12,12,0.5073164642179746,0.35091724177846945
112,12,13,0.24276723660215072,0.3841088675811516
113,12,14,0.9718002982133971,0.0914263009547029
114,12,15,0.552387880839725,0.34764300773573537
115,12,16,0.6120562330006438,0.34884202931438835
116,12,17,0.5852116808307102,0.33454343486505256
117,12,18,0.6503713950041814,0.27508934591018847
118,12,19,0.723542314038644,0.29322663138308447
119,12,20,0.46953612222462704,0.3367357524685037
120,14,1,-0.044690208173994384,0.4278168086927262
121,14,2,0.654200048530011,0.3296543301470173
122,14,3,0.9945813808592135,0.03794963649914847
123,14,4,0.6395378779139222,0.3618829259342495
124,14,5,0.9378367312135019,0.134026782270005
125,14,6,0.6997873901672653,0.3062371134666094
126,14,7,0.4932047373551892,0.3223208869712136
127,14,8,-0.5097312275471684,0.4701015044249189
128,14,9,0.5395471417319633,0.37407966903110396
129,14,10,0.6245425518000829,0.27004078253024877
130,14,11,0.9908836927312764,0.05259932880203249
131,14,12,0.5611305381606819,0.3396368752903352
132,14,13,0.4334140368039753,0.4003224017339068
133,14,14,0.9999981223136744,0.0007742406558882808
134,14,15,0.8166102076083561,0.1705418107949548
135,14,16,0.5757505498745978,0.35691411039574394
136,14,17,0.7241312289505275,0.26387707086542905
137,14,18,0.7206676378021132,0.30562680788349894
138,14,19,0.9973262196461418,0.02711613648404309
139,14,20,0.7490758435037498,0.2535030388628452
140,16,1,0.5585599480429921,0.3569387140468376
141,16,2,0.6533113627899241,0.319823016288099
142,16,3,0.6503713950041814,0.27508934591018847
143,16,4,1.0,4.810966440042345e-17
144,16,5,0.5382642329120553,0.2966170178002517
145,16,6,0.7203563352346606,0.3057127430887895
146,16,7,0.6215675335338943,0.3217915008267441
147,16,8,0.999882259910854,0.0044233892760314674
148,16,9,0.6416962685784943,0.3316425117239902
149,16,10,0.6542948056964408,0.2758514374234463
150,16,11,0.7250810647995901,0.2541556346461407
151,16,12,0.5805939207430082,0.33318538021687405
152,16,13,0.5372008238978623,0.3564899572072634
153,16,14,0.9887912721183688,0.060574505015495765
154,16,15,-0.7180482736023486,0.5169311006907241
155,16,16,0.6572819011689298,0.3243908758430349
156,16,17,0.72141073242788,0.26681203039447166
157,16,18,0.6542948056964408,0.2758514374234463
158,16,19,0.9995419925005953,0.013908594407156442
159,16,20,0.7235720516466067,0.29315846103426485
160,18,1,0.5585599480429921,0.3569387140468376
161,18,2,0.6659129703586381,0.2869123083265697
162,18,3,0.996119403590896,0.03238085247991319
163,18,4,0.9999982236521254,0.0006993287236054746
164,18,5,1.0,4.810966440042345e-17
165,18,6,0.7097906507173282,0.29034354049378397
166,18,7,0.4555514169096033,0.3212703075789912
167,18,8,0.5600245702610973,0.3462383530588095
168,18,9,0.6416962685784943,0.3316425117239902
169,18,10,1.0,4.810966440042345e-17
170,18,11,0.999999746712212,0.00023790694624179856
171,18,12,0.6677723970854947,0.3131589374772706
172,18,13,0.9726692223317068,0.0917318683046831
173,18,14,0.982887161458424,0.0722894339895678
174,18,15,0.6677723970854947,0.3131589374772706
175,18,16,0.6533285079322271,0.3245756137524957
176,18,17,0.998300274529233,0.02329351576530685
177,18,18,0.6542948056964408,0.2758514374234463
178,18,19,0.9994271130336269,0.013893653207257302
179,18,20,0.7175601286199227,0.2862362647619606
180,20,1,0.5585599480429921,0.3569387140468376
181,20,2,0.9938150285351883,0.04551950297010298
182,20,3,0.996119403590896,0.03238085247991319
183,20,4,0.6745767859637088,0.3139589451250886
184,20,5,0.833579882392742,0.22601990430201993
185,20,6,0.7128994914796231,0.3100006006727249
186,20,7,0.4540318888331897,0.3245313712172824
187,20,8,0.999972520186364,0.0034068564889809306
188,20,9,0.5628789934559991,0.3546115565202145
189,20,10,1.0,3.0068540250264654e-17
190,20,11,0.7128994914796231,0.3100006006727249
191,20,12,0.694730263243537,0.25109042120232805
192,20,13,0.5808251119422378,0.305129953764189
193,20,14,0.9718002982133971,0.0914263009547029
194,20,15,0.6677723970854947,0.3131589374772706
195,20,16,0.5757505498745978,0.35691411039574394
196,20,17,0.9999987868192924,0.0007158296709442884
197,20,18,0.6575513072565768,0.26785994072949065
198,20,19,0.6985590555673225,0.2797305667532925
199,20,20,0.7196654573091221,0.3054996978352141
200,22,1,0.5585599480429921,0.3569387140468376
201,22,2,0.6476355413787458,0.33108677446882756
202,22,3,0.996119403590896,0.03238085247991319
203,22,4,0.9163189932588954,0.1647443218726449
204,22,5,0.998157837933836,0.023198964375136147
205,22,6,0.6767152678820542,0.2774354383037049
206,22,7,0.5625114732812406,0.2962518424153748
207,22,8,0.560762170273971,0.3475660724172283
208,22,9,0.6416962685784943,0.3316425117239902
209,22,10,1.0,3.7470027081099036e-17
210,22,11,0.7128994914796231,0.3100006006727249
211,22,12,0.7152685590942032,0.285056676951691
212,22,13,0.6515990434020011,0.3254243807008356
213,22,14,0.9560770901406858,0.10486542062130584
214,22,15,0.6677723970854947,0.3131589374772706
215,22,16,0.6207557265936556,0.3361687702961299
216,22,17,0.9982577004396062,0.023475362077885222
217,22,18,0.7196654573091221,0.3054996978352141
218,22,19,0.6675243082124538,0.29673662951108837
219,22,20,0.6805924524583657,0.25905714321991186
220,24,1,0.5585599480429921,0.3569387140468376
221,24,2,0.9949697609205278,0.039869620362890996
222,24,3,0.9999985541101472,0.0007814740353455594
223,24,4,0.7196654573091221,0.3054996978352141
224,24,5,1.0,3.0068540250264654e-17
225,24,6,0.6542948056964408,0.2758514374234463
226,24,7,0.3935701596096939,0.32625812176373425
227,24,8,0.9999051270852065,0.004676016566090542
228,24,9,0.6685419530535626,0.32152264337744396
229,24,10,0.6767152678820542,0.2774354383037049
230,24,11,0.9829582724072271,0.06502357761891907
231,24,12,0.9310123246171979,0.11862676708992517
232,24,13,0.5136477261729857,0.3603316332252683
233,24,14,0.9647392622401283,0.09632040222926079
234,24,15,0.9983076228880473,0.022727165698898055
235,24,16,0.6849098685039403,0.2820573890455462
236,24,17,1.0,3.7470027081099036e-17
237,24,18,0.7196654573091221,0.3054996978352141
238,24,19,1.0,3.7470027081099036e-17
239,24,20,0.6542948056964408,0.2758514374234463
240,26,1,0.9262034732956965,0.1469716503636352
241,26,2,0.6122920595319447,0.3374889727635801
242,26,3,0.9998443413011262,0.008085086677030551
243,26,4,0.6976855049358797,0.29356568115570597
244,26,5,1.0,4.810966440042345e-17
245,26,6,0.6910637626679483,0.27877062135449926
246,26,7,1.0,3.0068540250264654e-17
247,26,8,0.9734627245961756,0.10587053650641964
248,26,9,0.6435419212170245,0.3271102548028907
249,26,10,0.6797925817757269,0.2775165230574573
250,26,11,0.7128994914796231,0.3100006006727249
251,26,12,0.9413815428560254,0.11473410802520559
252,26,13,0.5923451442772341,0.31061174331928487
253,26,14,0.6790497800810942,0.277672376521628
254,26,15,0.998296859875974,0.024703135966701713
255,26,16,0.9960152974296929,0.03642614357893519
256,26,17,0.9185378369608201,0.15852270333427299
257,26,18,0.7128994914796231,0.3100006006727249
258,26,19,1.0,7.401486830834377e-18
259,26,20,0.7175601286199227,0.2862362647619606
260,28,1,1.0,4.810966440042345e-17
261,28,2,0.5706093281579977,0.28904151812570494
262,28,3,0.9989452667148481,0.018085950800384325
263,28,4,0.974823210603564,0.10312100137023285
264,28,5,0.7203563352346606,0.3057127430887895
265,28,6,0.693302307682925,0.2790444992748854
266,28,7,0.3935701596096939,0.32625812176373425
267,28,8,0.9812075176420815,0.07363480980872558
268,28,9,0.6435419212170245,0.3271102548028907
269,28,10,1.0,5.2735593669694933e-17
270,28,11,0.6228485634824872,0.33732559556700786
271,28,12,0.9981662752493204,0.025487132924988384
272,28,13,0.5604300688733783,0.3471139376642691
273,28,14,0.6944890222564541,0.2794286226103683
274,28,15,-1.989664717523091,0.36512221259579364
275,28,16,0.5757505498745978,0.35691411039574394
276,28,17,0.9963207023357228,0.039421160988394564
277,28,18,0.7017380069074783,0.28475467011026934
278,28,19,0.6952216342177919,0.30304965758486907
279,28,20,0.7175601286199227,0.2862362647619606
280,30,1,0.7196241278183235,0.30549692396378914
281,30,2,0.9976878506592907,0.030060289331804522
282,30,3,1.0,5.2735593669694933e-17
283,30,4,1.0,3.0068540250264654e-17
284,30,5,1.0,4.810966440042345e-17
285,30,6,0.7128994914796231,0.3100006006727249
286,30,7,1.0,3.0068540250264654e-17
287,30,8,0.999998183671818,0.0008758789898930336
288,30,9,0.6435419212170245,0.3271102548028907
289,30,10,1.0,3.7470027081099036e-17
290,30,11,0.8124032592392642,0.1912151870655965
291,30,12,0.9999981223136744,0.0007742406558882471
292,30,13,0.6563825841746243,0.32495494887316934
293,30,14,0.6922998421256464,0.3006964591185886
294,30,15,0.9463987814834532,0.11173018063073709
295,30,16,0.9976878506592907,0.030060289331804522
296,30,17,0.7057066511682297,0.253212436684126
297,30,18,0.6970927832528676,0.27953248054726526
298,30,19,1.0,3.0068540250264654e-17
299,30,20,0.7206696332991489,0.30564345397435644
